Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Start link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (Biomica Delivery),Custom field (Budget),Custom field (Budget 2),Custom field (CRISPRIL WP),Custom field (Crispr Delivery),Custom field (DevOps Platform),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint
Pareto - modifications after QA- Algo,CHEM-665,45800,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,hamutal.e,13/04/2023 14:55,01/05/2023 12:27,12/09/2023 13:19,,20/04/2023 00:00,anatm,hamutal.e,nira,robertoo,,,,,,,;01/May/23 7:29 AM;anatm;14400,,,,,,,,,,,,,,,,,,,,,,,,,,0,14400,,,0,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i012en:,01/04/2023
Transfering the immuno-oncology microbiome-based machine-learning classifier constructed per Biomica’s request - April,BIOM-247,42303,,Task,Closed,BIOM,Biomica,software,drorf,,,High,,anatm,nira,nira,19/02/2023 08:36,09/05/2023 09:21,12/09/2023 13:19,,30/04/2023 00:00,anatm,drorf,elanitec,robertoo,SheerliK,,,,,,;01/May/23 7:31 AM;anatm;86400,;09/May/23 9:21 AM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,201600,86400,115200,57%,201600,86400,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOM-261,,,BIOM-246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P255 - IBD (Biomica 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i010lb:,01/04/2023
CLONE - CORBACs run failure - ALGO,CI-7,46803,,Bug,Closed,CI,CPBC Internal,software,drorf,,,High,,anatm,elanitec,drorf,01/05/2023 12:37,17/05/2023 10:15,12/09/2023 13:19,,30/04/2023 00:00,anatm,drorf,,,,,,,,,;02/May/23 8:44 AM;anatm;14400,,,,,,,,,,,,,,,,,,,,,,,,,,0,14400,,,0,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CI-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/May/23 12:37 PM;drorf;corbac_productions_BS_Apr2023.txt;https://jira.prod.evogene.host/secure/attachment/47904/corbac_productions_BS_Apr2023.txt,01/May/23 12:37 PM;drorf;corbac_productions_BSdicots_Apr2023.txt;https://jira.prod.evogene.host/secure/attachment/47905/corbac_productions_BSdicots_Apr2023.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Job,Research,,P82 - ICL (Lavie 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,MicroBoost,0|i012zr:,01/05/2023
Forester user list with GTDB ,MIC-847,47302,,Bug,Closed,MIC,MicroBoost,software,larisar,,,High,,anatm,anatol,anatol,08/05/2023 07:53,30/05/2023 13:24,12/09/2023 13:19,,31/05/2023 00:00,anatm,anatol,drorf,elanitec,,,,,,,;08/May/23 12:17 PM;anatm;14400,;22/May/23 10:02 AM;anatm;28800,;30/May/23 1:24 PM;anatm;43200,,,,,,,,,,,,,,,,,,,,,,,28800,0,86400,300%,28800,0,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Bug or False,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-715,,,,,,,,,MicroBoost,0|i0133r:,01/05/2023
Forester fails to run - QA tasks CI-8 and CI-11,MIC-857,48200,,Bug,Closed,MIC,MicroBoost,software,larisar,,,High,,anatm,elanitec,elanitec,21/05/2023 06:11,30/05/2023 13:24,12/09/2023 13:19,,24/05/2023 00:00,anatm,drorf,elanitec,,,,,,,,;22/May/23 9:19 AM;anatm;7200,;30/May/23 1:24 PM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,,0,36000,,,0,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CI-11,CI-8,MIC-856,,,,,,,,,,,,,,,,,,,,,,,21/May/23 6:16 AM;elanitec;CI-8_CI_11_production_Forester_test.xlsx;https://jira.prod.evogene.host/secure/attachment/49400/CI-8_CI_11_production_Forester_test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Bug or False,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",21/05/2023 00:00,,MIC-742,,,,,,,,,MicroBoost,0|i013bj:,01/05/2023
 a bug in deepdock_predict ,CHEM-711,48902,,Bug,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,hamutal.e,28/05/2023 09:21,31/05/2023 07:01,12/09/2023 13:19,,31/05/2023 00:00,anatm,hamutal.e,robertoo,,,,,,,,;30/May/23 7:29 AM;robertoo;7200,;30/May/23 1:24 PM;anatm;57600,,,,,,,,,,,,,,,,,,,,,,,,,0,64800,,,0,64800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/May/23 9:19 AM;hamutal.e;output.smi;https://jira.prod.evogene.host/secure/attachment/50105/output.smi,28/May/23 9:19 AM;hamutal.e;output.tsv;https://jira.prod.evogene.host/secure/attachment/50104/output.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P274 - Product- Upkeep CP  (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-173,,,,,,,,,ChemPass,0|i013pb:,01/05/2023
Transfering the immuno-oncology microbiome-based machine-learning classifier constructed per Biomica’s request - May,BIOM-261,46501,,Task,Closed,BIOM,Biomica,software,drorf,,,High,,anatm,nira,drorf,24/04/2023 07:49,31/05/2023 14:14,12/09/2023 13:19,,22/05/2023 00:00,anatm,drorf,,,,,,,,,;02/May/23 12:34 PM;anatm;43200,;03/May/23 8:08 AM;anatm;28800,;04/May/23 8:30 AM;anatm;28800,;07/May/23 7:31 AM;anatm;28800,;08/May/23 7:59 AM;anatm;28800,;11/May/23 6:49 AM;anatm;28800,;15/May/23 12:10 PM;anatm;28800,;16/May/23 2:44 PM;anatm;7200,,,,,,,,,,,,,,,,,,201600,0,223200,110%,201600,0,223200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOM-247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P255 - IBD (Biomica 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i012pz:,01/05/2023
email message following Forester failed runs,MIC-850,47601,,Bug,Closed,MIC,MicroBoost,software,larisar,,,Medium,,anatm,anatol,anatol,11/05/2023 07:42,12/06/2023 07:20,12/09/2023 13:19,,02/05/2023 00:00,anatm,anatol,drorf,elanitec,,,,,,,;04/Jun/23 12:29 PM;anatm;14400,;06/Jun/23 8:53 AM;anatm;14400,,,,,,,,,,,,,,,,,,,,,,,,14400,0,28800,200%,14400,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/Jun/23 5:27 PM;elanitec;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/50705/screenshot-1.png,08/Jun/23 7:08 AM;elanitec;screenshot-2.png;https://jira.prod.evogene.host/secure/attachment/51000/screenshot-2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-715,,,,,,,,,MicroBoost,0|i0136f:,01/06/2023
CLONE - Forester - All StrainDB option (BIOMICA UI),MIC-907,49708,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,anatm,elanitec,elanitec,07/06/2023 12:40,12/06/2023 07:04,12/09/2023 13:19,,05/06/2023 00:00,anatm,drorf,elanitec,,,,,,,,;08/Jun/23 12:39 PM;anatm;18000,,,,,,,,,,,,,,,,,,,,,,,,,57600,25200,18000,31%,57600,25200,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Jun/23 12:40 PM;elanitec;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/50913/screenshot-1.png,12/Jun/23 7:03 AM;elanitec;screenshot-2.png;https://jira.prod.evogene.host/secure/attachment/51200/screenshot-2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-715,,,,,,,,,MicroBoost,0|i01473:,01/06/2023
EvoDL adjustments,CPB-994,49522,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,anatm,robertoo,robertoo,05/06/2023 10:56,12/06/2023 10:44,12/09/2023 13:19,,08/06/2023 00:00,anatm,robertoo,,,,,,,,,;07/Jun/23 12:09 PM;anatm;57600,;11/Jun/23 2:14 PM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i0143j:,01/06/2023
De novo design - literature search,CHEM-697,48609,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,hamutal.e,23/05/2023 14:19,02/07/2023 07:34,12/09/2023 13:19,,18/06/2023 00:00,boazm,hamutal.e,nira,,,,,,,,;05/Jun/23 12:57 PM;anatm;14400,;07/Jun/23 12:06 PM;anatm;18000,;12/Jun/23 10:44 AM;anatm;28800,;13/Jun/23 8:04 AM;anatm;28800,;02/Jul/23 7:34 AM;anatm;57600,,,,,,,,,,,,,,,,,,,,,144000,0,147600,102%,144000,0,147600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-633,,,,,,,,,ChemPass,0|i013jr:,01/06/2023
Unconstrained MolGPT,CHEM-744,51611,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,hamutal.e,29/06/2023 11:33,02/07/2023 07:35,12/09/2023 13:19,,30/06/2023 00:00,anatm,hamutal.e,robertoo,,,,,,,,;02/Jul/23 7:35 AM;anatm;230400,,,,,,,,,,,,,,,,,,,,,,,,,230400,0,230400,100%,230400,0,230400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-633,,,,,,,,,ChemPass,0|i014zj:,01/06/2023
Add Castor Bean  genome to genome editing tool,CPB-1032,53001,,Task,Closed,CPB,CPB,software,drorf,,,High,,anatm,Iliaz,Iliaz,18/07/2023 11:15,30/07/2023 10:40,12/09/2023 13:19,,20/07/2023 00:00,anatm,drorf,Iliaz,robertoo,,,,,,,;18/Jul/23 11:23 AM;anatm;57600,,,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i01587:,01/07/2023
Unconstrained MolGPT,CHEM-235,12672,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,michalslu,30/05/2021 12:33,01/08/2023 06:37,12/09/2023 13:19,,20/07/2023 00:00,anatm,hamutal.e,robertoo,,,,,,,,;02/Jul/23 11:20 AM;anatm;28800,;13/Jul/23 7:20 AM;anatm;259200,;23/Jul/23 1:48 PM;anatm;28800,;30/Jul/23 8:57 AM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,432000,0,345600,80%,432000,0,345600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-176,,,,,,,,,,,,,,,,,,,CHEM-233,CHEM-234,CHEM-244,CHEM-276,CHEM-293,CHEM-296,,,,,,,26/Jun/23 2:02 PM;hamutal.e;acs.jcim.1c00600_MolGPT.pdf;https://jira.prod.evogene.host/secure/attachment/52511/acs.jcim.1c00600_MolGPT.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P21 - agPlenus Tech (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-633,,,,,Ready for work,,,,ChemPass,0|i00chz:,01/07/2023
constrained MolGPT / step 1 - cloned,CHEM-731,51305,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,hamutal.e,26/06/2023 14:09,01/08/2023 06:37,12/09/2023 13:19,,31/07/2023 00:00,boazm,hamutal.e,,,,,,,,,;30/Jul/23 8:57 AM;anatm;230400,,,,,,,,,,,,,,,,,,,,,,,,,144000,0,230400,160%,144000,0,230400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P21 - agPlenus Tech (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-633,,,,,,,,,ChemPass,0|i014rj:,01/07/2023
Adding All Public productions option to Forester (LavieBio),MIC-823,46304,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,anatm,anatol,anatol,20/04/2023 11:51,27/08/2023 08:24,12/09/2023 13:19,,31/05/2023 00:00,anatm,anatol,drorf,elanitec,larisar,,,,,,;11/May/23 12:50 PM;anatm;28800,;14/May/23 2:26 PM;anatm;28800,;16/May/23 2:48 PM;anatm;14400,;28/May/23 9:10 AM;anatm;72000,,,,,,,,,,,,,,,,,,,,,,144000,0,144000,100%,144000,0,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-872,,,,,,,,,,,,,,MIC-988,MIC-976,MIC-953,MIC-934,,,,,MIC-926,MIC-865,,,,,,,,,,,16/May/23 2:47 PM;anatm;MicrosoftTeams-image.png;https://jira.prod.evogene.host/secure/attachment/49117/MicrosoftTeams-image.png,12/Jun/23 7:09 AM;elanitec;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/51201/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-715,,,,,,,,,MicroBoost,0|i012k7:,01/05/2023
Implement use of DB instead of acc2name to replace RefSeq or GenBank assembly accession in GTDB based tree,MIC-865,48508,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,anatm,larisar,larisar,22/05/2023 11:24,28/08/2023 14:11,12/09/2023 13:19,,08/06/2023 00:00,anatm,drorf,elanitec,larisar,sassim,,,,,,;07/Jun/23 12:08 PM;anatm;57600,;08/Jun/23 8:22 AM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,144000,57600,86400,60%,144000,57600,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-934,MIC-926,,,,,,,,,,,,,MIC-823,,,,,,,,,,,,,,,,,,,,26/Jun/23 7:30 AM;larisar;corbac_productions.xlsx;https://jira.prod.evogene.host/secure/attachment/52503/corbac_productions.xlsx,26/Jun/23 7:25 AM;larisar;IC-11_all3_corbac_productions_test.xlsx;https://jira.prod.evogene.host/secure/attachment/52501/IC-11_all3_corbac_productions_test.xlsx,22/May/23 11:19 AM;larisar;image-2023-05-22-14-19-46-921.png;https://jira.prod.evogene.host/secure/attachment/49600/image-2023-05-22-14-19-46-921.png,26/Jun/23 7:25 AM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/52502/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i013gf:,01/06/2023
Forester - Full tree including the GTDB genomes,MIC-727,40402,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,anatm,anatol,anatol,25/01/2023 16:28,29/08/2023 12:48,12/09/2023 13:19,,03/04/2023 00:00,anatm,anatol,elanitec,,,,,,,,;04/Apr/23 12:38 PM;anatm;28800,;01/May/23 7:29 AM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,28800,0,57600,200%,28800,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/Mar/23 12:50 PM;anatol;Forester Kickoff March 2023 v2.pptx;https://jira.prod.evogene.host/secure/attachment/44902/Forester+Kickoff+March+2023+v2.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Operational Task,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-715,,,,,,,,,MicroBoost,0|i00zsv:,01/04/2023
Implement use of DB instead of acc2name to replace RefSeq or GenBank assembly accession in GTDB based tree Aug-2023,MIC-934,51801,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,anatm,larisar,larisar,02/07/2023 12:54,31/08/2023 08:07,12/09/2023 13:19,,08/08/2023 00:00,anatm,drorf,elanitec,erezn,larisar,,,,,,;02/Aug/23 11:37 AM;anatm;57600,;22/Aug/23 7:39 AM;anatm;57600,,,,,,,,,,,,,,,,,,,,,,,,115200,0,115200,100%,115200,0,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-976,MIC-953,,MIC-865,,,,,,,,,,,MIC-988,,,,,,,,MIC-997,MIC-995,MIC-977,MIC-959,MIC-956,MIC-926,MIC-823,,,,,,01/Aug/23 8:21 AM;larisar;Example1_with_details.docx;https://jira.prod.evogene.host/secure/attachment/55005/Example1_with_details.docx,02/Jul/23 1:06 PM;larisar;image-2023-07-02-16-06-44-345.png;https://jira.prod.evogene.host/secure/attachment/53005/image-2023-07-02-16-06-44-345.png,02/Jul/23 1:07 PM;larisar;image-2023-07-02-16-07-21-696.png;https://jira.prod.evogene.host/secure/attachment/53004/image-2023-07-02-16-07-21-696.png,02/Jul/23 1:13 PM;larisar;image-2023-07-02-16-13-04-250.png;https://jira.prod.evogene.host/secure/attachment/53003/image-2023-07-02-16-13-04-250.png,02/Jul/23 1:04 PM;larisar;MIC-865_MIC-823_summary.docx;https://jira.prod.evogene.host/secure/attachment/53006/MIC-865_MIC-823_summary.docx,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i01527:,01/08/2023
Forester fails when using pruned GTDB,MIC-948,53813,,Bug,Closed,MIC,MicroBoost,software,larisar,,,Medium,,anatm,erezn,erezn,30/07/2023 13:36,03/09/2023 07:42,12/09/2023 13:19,,10/08/2023 00:00,anatm,elanitec,erezn,larisar,,,,,,,;22/Aug/23 7:42 AM;anatm;28800,;03/Sep/23 7:42 AM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-986,MIC-984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/Jul/23 1:25 PM;erezn;forester_productions2.xlsx;https://jira.prod.evogene.host/secure/attachment/54808/forester_productions2.xlsx,24/Aug/23 7:23 AM;elanitec;image-2023-08-24-10-23-16-654.png;https://jira.prod.evogene.host/secure/attachment/56801/image-2023-08-24-10-23-16-654.png,22/Aug/23 9:19 AM;anatm;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/56604/screenshot-1.png,29/Aug/23 2:12 PM;elanitec;screenshot-2.png;https://jira.prod.evogene.host/secure/attachment/57109/screenshot-2.png,31/Aug/23 6:04 AM;elanitec;screenshot-3.png;https://jira.prod.evogene.host/secure/attachment/57300/screenshot-3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i015r3:,01/08/2023
constrained MolGPT .Aug23,CHEM-756,53208,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,hamutal.e,20/07/2023 12:15,03/09/2023 10:38,12/09/2023 13:19,,31/08/2023 00:00,hamutal.e,,,,,,,,,,;22/Aug/23 7:43 AM;anatm;28800,;03/Sep/23 10:38 AM;anatm;57600,,,,,,,,,,,,,,,,,,,,,,,,144000,57600,86400,60%,144000,57600,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-784,,,CHEM-731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-633,,,,,,,,,ChemPass,0|i015dz:,01/08/2023
"forester fails to run with ""ALL PUBLIC""",LBI-13,53800,,Bug,Closed,LBI,Lavie Bio Internal,software,drorf,,,High,,anatm,elanitec,elanitec,30/07/2023 06:34,03/09/2023 10:39,12/09/2023 13:19,,02/08/2023 00:00,anatm,duduz,elanitec,erezn,,,,,,,;03/Sep/23 10:39 AM;anatm;57600,,,,,,,,,,,,,,,,,,,,,,,,,,0,57600,,,0,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAV-506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/Jul/23 6:34 AM;elanitec;forester_productionsPYTinitialTS.xlsx;https://jira.prod.evogene.host/secure/attachment/54800/forester_productionsPYTinitialTS.xlsx,30/Jul/23 6:47 AM;elanitec;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/54802/screenshot-1.png,30/Jul/23 1:13 PM;elanitec;screenshot-2.png;https://jira.prod.evogene.host/secure/attachment/54806/screenshot-2.png,30/Jul/23 1:17 PM;elanitec;screenshot-3.png;https://jira.prod.evogene.host/secure/attachment/54807/screenshot-3.png,31/Jul/23 12:34 PM;elanitec;screenshot-4.png;https://jira.prod.evogene.host/secure/attachment/54915/screenshot-4.png,30/Jul/23 6:34 AM;elanitec;treeERRORmes.txt;https://jira.prod.evogene.host/secure/attachment/54801/treeERRORmes.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,MicroBoost,0|i015o7:,01/08/2023
